# Logfile created on 2022-03-03 10:13:17 +0100 by logger.rb/v1.5.0
D, [2022-03-10T08:18:00.038556 #6668] DEBUG -- :   TRANSACTION (9.2ms)  COMMIT
D, [2022-03-10T08:18:00.039429 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.039781 #6668] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('ELE', 'SUP', '2022-03-10 07:18:00.038909', '2022-03-10 07:18:00.038909')
D, [2022-03-10T08:18:00.047905 #6668] DEBUG -- :   TRANSACTION (7.9ms)  COMMIT
D, [2022-03-10T08:18:00.048586 #6668] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:18:00.049014 #6668] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('GAM', 'Gaming', '2022-03-10 07:18:00.048177', '2022-03-10 07:18:00.048177')
D, [2022-03-10T08:18:00.055994 #6668] DEBUG -- :   TRANSACTION (6.8ms)  COMMIT
D, [2022-03-10T08:18:00.063772 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.064408 #6668] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('apple', '2.35', 'Little apple', '2022-03-10 07:18:00.063125', '2022-03-10 07:18:00.063125', 1)
D, [2022-03-10T08:18:00.071349 #6668] DEBUG -- :   TRANSACTION (6.7ms)  COMMIT
D, [2022-03-10T08:18:00.072399 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.072833 #6668] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('lemon', '6.15', 'Big lemon', '2022-03-10 07:18:00.071871', '2022-03-10 07:18:00.071871', 1)
D, [2022-03-10T08:18:00.082645 #6668] DEBUG -- :   TRANSACTION (9.4ms)  COMMIT
D, [2022-03-10T08:18:00.083519 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.084087 #6668] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('limousine', '25.95', 'A limousine', '2022-03-10 07:18:00.082993', '2022-03-10 07:18:00.082993', 2)
D, [2022-03-10T08:18:00.092178 #6668] DEBUG -- :   TRANSACTION (7.7ms)  COMMIT
D, [2022-03-10T08:18:00.093297 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.093851 #6668] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('truck', '200', 'A truck', '2022-03-10 07:18:00.092623', '2022-03-10 07:18:00.092623', 2)
D, [2022-03-10T08:18:00.101302 #6668] DEBUG -- :   TRANSACTION (7.1ms)  COMMIT
D, [2022-03-10T08:18:00.102538 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.103064 #6668] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('GTA', '25.95', 'A limousine', '2022-03-10 07:18:00.101681', '2022-03-10 07:18:00.101681', 4)
D, [2022-03-10T08:18:00.113287 #6668] DEBUG -- :   TRANSACTION (9.9ms)  COMMIT
D, [2022-03-10T08:18:00.114502 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.115179 #6668] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('fifa22', '69', 'A truck', '2022-03-10 07:18:00.113770', '2022-03-10 07:18:00.113770', 4)
